Index	Sample Name	Sample Type	Component Name	Component Type	Component Group Name	Actual Concentration	Expected RT	Area	Retention Time	Retention Time Delta (min)	Used	Calculated Concentration	Adduct / Charge	Accuracy	Formula	Precursor Mass	Accuracy Acceptance	Concentration Acceptance	Reportable	Ejection Status	Ejection Volume	Ejection Time
107	C6-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	48540.7546208472	0.020220892083505	0.000779107916495041	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:01.7326238Z
108	C6-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	35365.5285000001	0.0189044641571238	0.0029044641571238	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:01.7326238Z
109	C7-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	47692.8873728568	0.0203331907908559	0.000666809209144126	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:04.7226562Z
110	C7-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	41093.7300000002	0.0168811442351103	0.000881144235110327	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:04.7226562Z
111	C8-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	50808.4392144112	0.0195947076867111	0.00140529231328893	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:07.7253555Z
112	C8-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1488.375	0.0179528760044211	0.00195287600442106	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:07.7253555Z
113	C9-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	45882.6546762143	0.0202348371328265	0.00076516286717352	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:10.7185518Z
114	C9-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	46585.2149999996	0.018295828620905	0.00229582862090501	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:10.7185518Z
115	C10-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	48111.181687083	0.0206670117112415	0.000332988288758492	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:13.7265028Z
116	C10-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	24904.575	0.0181411157829217	0.00214111578292175	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:13.7265028Z
117	C11-1	Unknown	PPD	Internal Standards	Group 1	1	0.021	49125.5485232756	0.0198483362177878	0.00115166378221218	True	N/A		N/A		461.332	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:16.7258489Z
118	C11-1	Unknown	CK	Quantifiers	Group 1	N/A	0.016	1166.62499999998	0.0206122118384233	0.00461221183842333	True	<2 points		N/A		623.374	Pass	Pass	True	Ok	2.5	2024-11-08T10:49:16.7258489Z
